date,block
1/31/2009,2656
2/28/2009,6028
3/31/2009,9503
4/30/2009,12952
5/31/2009,16285
6/30/2009,18524
7/31/2009,20403
8/31/2009,22017
9/30/2009,24180
10/31/2009,26249
11/30/2009,28514
12/31/2009,32622
1/31/2010,37677
2/28/2010,43291
3/31/2010,48465
4/30/2010,54058
5/31/2010,58950
6/30/2010,63773
7/31/2010,71675
8/31/2010,77675
9/30/2010,83151
10/31/2010,89069
11/30/2010,94989
12/31/2010,100590
1/31/2011,105734
2/28/2011,111266
3/31/2011,116214
4/30/2011,121305
5/31/2011,128053
6/30/2011,134294
7/31/2011,139200
8/31/2011,143537
9/30/2011,147708
10/31/2011,151464
11/30/2011,155633
12/31/2011,160189
1/31/2012,164921
2/29/2012,169268
3/31/2012,173946
4/30/2012,178184
5/31/2012,182580
6/30/2012,187105
7/31/2012,191870
8/31/2012,196776
9/30/2012,201441
10/31/2012,206055
11/30/2012,210516
12/31/2012,214724
1/31/2013,219153
2/28/2013,223816
3/31/2013,229205
4/30/2013,234125
5/31/2013,239164
6/30/2013,244316
7/31/2013,249701
8/31/2013,255582
9/30/2013,261175
10/31/2013,267395
11/30/2013,272574
12/31/2013,278200
1/31/2014,283656
2/28/2014,288513
3/31/2014,293653
4/30/2014,298688
5/31/2014,303726
6/30/2014,308804
7/31/2014,313560
8/31/2014,318666
9/30/2014,323423
10/31/2014,328097
11/30/2014,332492
12/31/2014,337025
1/31/2015,341546
2/28/2015,345750
3/31/2015,350293
4/30/2015,354563
5/31/2015,359012
6/30/2015,363397
7/31/2015,368000
8/31/2015,372594
9/30/2015,377058
10/31/2015,381622
11/30/2015,386285
12/31/2015,391316
1/31/2016,396209
2/29/2016,400741
3/31/2016,405331
4/30/2016,409792
5/31/2016,414400
6/30/2016,418877
7/31/2016,423240
8/31/2016,427876
9/30/2016,432440
10/31/2016,436971
11/30/2016,441486
12/31/2016,446188
1/31/2017,451136
2/28/2017,455343
3/31/2017,459963
4/30/2017,464419
5/31/2017,469291
6/30/2017,473756
7/31/2017,478627
8/31/2017,483058
9/30/2017,487869
10/31/2017,492713
11/30/2017,497114
12/31/2017,502116
1/31/2018,507175
2/28/2018,511549
3/31/2018,516201
4/30/2018,520807
5/31/2018,525532
6/30/2018,530113
7/31/2018,534762
8/31/2018,539566
9/30/2018,543992
10/31/2018,548637
11/30/2018,552207
12/31/2018,556607
1/31/2019,561141
2/28/2019,565270
3/31/2019,569794
4/30/2019,574167
5/31/2019,578868
6/30/2019,583379
7/31/2019,588148
8/31/2019,592825
9/30/2019,597460
10/31/2019,601971
11/30/2019,606226
12/31/2019,610864
1/31/2020,615578
2/29/2020,619758
3/31/2020,623989
4/30/2020,628490
5/31/2020,632675
6/30/2020,637252
7/31/2020,641816
8/31/2020,646229
9/30/2020,650855
10/31/2020,655057
11/30/2020,659550
12/31/2020,664061
1/31/2021,668666
2/28/2021,672757
3/31/2021,677367
4/30/2021,681434
5/31/2021,685860
6/30/2021,689352
7/31/2021,693781
8/31/2021,698608
9/30/2021,703091
10/31/2021,707781
11/30/2021,712147
12/31/2021,716770
1/31/2022,721411
2/28/2022,725516
3/31/2022,730037
4/30/2022,734481
5/31/2022,738925
6/30/2022,743221
7/31/2022,747564
8/31/2022,752213
9/30/2022,756442
10/31/2022,761184
11/30/2022,765373
12/31/2022,769786
1/31/2023,774512
2/28/2023,778762
3/31/2023,783415
4/30/2023,787697
5/31/2023,792336
6/30/2023,796653
7/31/2023,801129
8/31/2023,805654
9/30/2023,810104
10/31/2023,814748
11/30/2023,819186
12/31/2023,823785
1/31/2024,828307
2/29/2024,832646
3/31/2024,837160
4/30/2024,841562
5/31/2024,845981
6/30/2024,850160
7/31/2024,854872
8/31/2024,859302
9/30/2024,863593
10/31/2024,868357
11/30/2024,872689
12/31/2024,877258
1/31/2025,881699
2/28/2025,885783
3/31/2025,890324
4/30/2025,894671
