price,stock,adj_stock,flow
0.09,3188650.0,3571850.0,4741200.0
0.06,3583750.0,3872650.0,3600000.0
0.06,3883750.0,4149900.0,3285600.0
0.06,4157550.0,4444650.0,3550800.0
0.2,4453450.0,4740100.0,3552000.0
0.23,4749450.0,5020500.0,3360600.0
0.3,5029500.0,5278550.0,3086400.0
0.7,5286700.0,5556850.0,3319200.0
0.92,5563300.0,5801950.0,2968800.0
0.77,5810700.0,6056350.0,3054600.0
3.03,6065250.0,6393299.99,4048800.0
9.57,6402650.0,6706099.99,3744600.0
15.4,6714700.0,6951799.99,2943600.0
13.09,6960000.0,7170449.989999,2602200.0
8.21,7176850.0,7378299.99,2502600.0
5.03,7385400.0,7565749.99,2253600.0
3.15,7573200.0,7772599.990001,2501400.0
3.06,7781650.0,8001849.990001,2733600.0
5.27,8009450.0,8239041.34443501,2839200.0
6.08,8246050.0,8456790.410756,2608200.0
4.92,8463400.0,8690240.328155,2806800.0
4.83,8697300.0,8900740.32815,2542800.0
5.0,8909200.0,9121440.29451503,2637600.0
5.27,9129000.0,9348190.20931714,2715000.0
6.63,9355250.0,9586840.09642626,2859000.0
9.55,9593500.0,9830790.02751936,2943600.0
9.97,9838800.0,10065539.9826134,2799000.0
12.4,10072050.0,10295939.9595024,2768400.0
10.57,10302750.0,10508739.9425035,2521800.0
12.56,10512900.0,10614064.9145065,1262400.0
13.3,10618100.0,10725164.8535075,1328700.0
20.5,10728825.0,10841614.8180045,1398900.0
34.5,10845400.0,10975189.8065065,1616700.0
104.0,10980125.0,11099364.8038055,1476000.0
116.38,11103125.0,11223789.8033055,1511700.0
129.3,11229100.0,11353989.8033045,1545600.0
84.61,11357900.0,11488114.8023055,1615500.0
96.42,11492525.0,11634039.8023055,1764300.0
128.26,11639550.0,11774714.8023055,1677900.0
125.49,11779375.0,11929689.8023035,1866000.0
198.51,11934875.0,12061522.0918655,1553700.0
946.92,12064350.0,12199889.8023075,1687800.0
770.44,12205000.0,12336689.8023035,1636800.0
853.02,12341400.0,12459239.8023035,1457100.0
563.74,12462825.0,12587064.8023125,1542000.0
478.72,12591325.0,12712814.8023225,1510500.0
456.27,12717200.0,12838789.8023125,1511400.0
629.02,12843150.0,12966789.8023155,1523400.0
635.59,12970100.0,13085089.8023165,1426800.0
595.08,13089000.0,13213264.8023175,1531800.0
474.13,13216650.0,13331714.8023195,1427100.0
381.33,13335575.0,13448464.8023175,1402200.0
325.39,13452425.0,13559064.8023215,1318500.0
378.64,13562300.0,13671514.8023235,1359900.0
313.92,13675625.0,13784789.8023225,1356300.0
226.4,13788650.0,13890264.8023316,1261200.0
258.74,13893750.0,14004039.8023376,1362900.0
246.55,14007325.0,14110389.8023346,1281000.0
232.12,14114075.0,14222014.8023326,1334700.0
223.31,14225300.0,14331564.8023346,1315500.0
257.66,14334925.0,14446139.8023356,1380900.0
280.04,14450000.0,14561014.8023336,1378200.0
227.35,14564850.0,14672739.8023326,1339200.0
237.57,14676450.0,14786739.8023296,1369200.0
325.08,14790550.0,14902964.8023286,1398900.0
362.73,14907125.0,15029539.8023296,1509300.0
434.46,15032900.0,15036299.8023286,1467900.0
371.25,15155225.0,15012397.7423296,1359600.0
433.64,15268525.0,14985547.7398576,1377000.0
417.01,15383275.0,14957872.7372736,1338300.0
453.04,15494800.0,14944872.7353216,1382400.0
536.42,15610000.0,14976847.7353216,1343100.0
676.52,15721925.0,14988417.5953216,822900.0
607.37,15790500.0,14995730.0953226,695400.0
571.69,15848450.0,14977567.4753236,684600.0
613.93,15905500.0,14989117.4753236,679650.0
729.27,15962137.5,14994379.7553236,677250.0
753.26,16018575.0,14980531.1053236,705300.0
997.69,16077350.0,14967723.1053236,742200.0
987.35,16139200.0,14943942.2453236,631050.0
1230.02,16191787.5,14927598.8153236,693000.0
1089.51,16249537.5,14883721.3953226,668400.0
1402.08,16305237.5,14907998.7053236,730800.0
2452.18,16366137.5,14899468.9153236,669750.0
2460.2,16421950.0,14828348.0853233,730650.0
2735.59,16482837.5,14807910.5553221,664650.0
4950.72,16538225.0,14817858.5248549,721650.0
4394.64,16598362.5,14825112.3070889,726600.0
6750.17,16658912.5,14845875.3770886,660150.0
10859.56,16713925.0,14892677.649537,750300.0
13412.44,16776450.0,14934221.7226477,758850.0
9052.58,16839687.5,14880731.4797813,656100.0
10907.59,16894362.5,14903111.9446938,697800.0
6816.74,16952512.5,14942266.3154025,690900.0
9067.72,17010087.5,14888594.5124319,708750.0
7518.25,17069150.0,14888294.7476741,687150.0
6347.86,17126412.5,14902909.1738581,697350.0
7603.75,17184525.0,14895674.4010881,720600.0
7192.3,17244575.0,14937322.5087801,663900.0
6578.79,17299900.0,14965340.716395,696750.0
6358.4,17357962.5,14996218.2243638,535500.0
4165.61,17402587.5,15035997.0573897,660000.0
3869.47,17457587.5,15074231.4050177,680100.0
3468.25,17514262.5,15111050.3272088,619350.0
3850.07,17565875.0,15139385.1881408,678600.0
4156.39,17622425.0,15176514.9993289,655950.0
5423.66,17677087.5,15213326.3939329,705150.0
8553.13,17735850.0,15251927.9876919,676650.0
10599.33,17792237.5,15283700.9202009,715350.0
10405.21,17851850.0,15314878.3302809,701550.0
9773.34,17910312.5,15361296.0508309,695250.0
8326.58,17968250.0,15398896.550437,676650.0
9265.43,18024637.5,15435184.1602471,638250.0
7420.84,18077825.0,15448884.8412261,695700.0
7188.46,18135800.0,15475980.4986491,707100.0
9388.66,18194725.0,15508711.3046361,627000.0
8540.26,18246975.0,15508353.0923162,634650.0
6671.95,18299862.5,15438066.7144842,675150.0
8771.57,18356125.0,15434210.9916011,427125.0
9564.95,18391718.75,15435393.7217911,343275.0
9153.95,18420325.0,15429221.6638923,342300.0
11354.16,18448850.0,15461625.7117561,330975.0
11964.21,18476431.25,15423247.9074842,346950.0
10626.6,18505343.75,15366770.4365696,315150.0
13762.97,18531606.25,15397629.7001523,336975.0
18795.2,18559687.5,15307750.592269,338325.0
29391.78,18587881.25,15209799.7227023,345375.0
33543.77,18616662.5,15265133.6810318,306825.0
49619.64,18642231.25,15220536.8732261,345750.0
58726.68,18671043.75,15226639.6004012,305025.0
57836.01,18696462.5,15194175.9159231,331950.0
36681.74,18724125.0,15076877.5687725,261900.0
33524.98,18745950.0,15099150.7830383,332175.0
39882.39,18773631.25,15040889.8137009,362025.0
48840.96,18803800.0,15266633.8114145,336225.0
48162.71,18831818.75,15599577.1763706,351750.0
60955.77,18861131.25,15493977.5719246,327450.0
57238.62,18888418.75,15464988.638335,346725.0
47743.0,18917312.5,15494163.8295554,348075.0
38718.81,18946318.75,15586519.7953507,307875.0
44438.34,18971975.0,15549372.6065732,339075.0
46154.5,19000231.25,15390325.0662196,333300.0
37923.81,19028006.25,15269450.7494255,333300.0
31451.5,19055781.25,15213204.3994976,322200.0
19488.0,19082631.25,15104184.0122856,325725.0
20050.28,19109775.0,14883232.1057007,348675.0
19425.0,19138831.25,14887365.464557,317175.0
20498.0,19165262.5,14906241.2595107,355650.0
17162.35,19194900.0,14887860.3850326,314175.0
